hombre detenido en noviembre de 1975 | affected by | dina
mujer detenida | affected by | carabineros
claudio nash | affected by | catedra
oscar varela | member | corporacion de ex presos politicos de pisagua
juan ramirez | member | equipo tecnico de la organizacion
jaime coronil | chief | equipo tecnico de la organizacion
juan valencia hinojosa | affected by | partido socialista de iquique
jose humberto lizardi flores | affected by | partido socialista de iquique
mario morris barrios | affected by | partido socialista de iquique
jose rufino cordova croxatto | affected by | partido socialista de iquique
julio cesar cabezas gacitua | affected by | partido socialista de iquique
freddy taberna gallegos | member | partido socialista de iquique
manuel delano | member | partido socialista de iquique
pedro arancibia | other | central nacional de informaciones
viadislav kuzmicic | other | central nacional de informaciones
alberto newmann | other | central nacional de informaciones
freddy taberna gallegos | affected by | partido socialista
jose demostenes rosier sampson ocaranza | affected by | partido socialista
juan antonio ruz diaz | affected by | partido socialista
rodolfo jacinto fuenzalida fernandez | affected by | partido socialista
luis alberto lizardi lizardi | affected by | partido socialista
marcelo omar guzman fuentes | affected by | partido socialista
nelson munoz morales | chief | partido socialista
hector taberna | other | partido socialista
unspecified hombre | affected by | comision
augusto pinochet ugarte | chief | gobierno de chile
felipe valenzuela | member | partido socialista
alberto neumann lagos | other | vicaria de la solidaridad
patricio aylwin | chief | comision de verdad y reconciliacion
francisco prieto | other | campo de detencion de pisagua
michel selim nash saez | affected by | ejercito
sergio benavides | chief | ejercito
manuel vega | chief | carabineros
roberto ampuero | member | ejercito
gabriel guerrero | member | ejercito
arturo contador | member | ejercito
sergio figueroa | affected by | corte suprema
miguel aguirre | affected by | cambio21
mario carroza | other | conectadosconlamemoria
hector taberna | other | partido socialista de iquique
mario unspecified | affected by | memorial de pisagua
oscar unspecified | affected by | memorial de pisagua
olga unspecified | affected by | memorial de pisagua
augusto pinochet ugarte | chief | ejercito
julio cesar cabezas gacitua | affected by | gobierno de salvador allende
haroldo quinteros | affected by | ejercito
carlos vila | chief | gobierno de salvador allende
hernan sanchez marre | chief | ejercito
jaime estevez | member | gobierno de salvador allende
unspecified hombre | affected by | ejercito
unspecified hombre | affected by | grupo de instruccion de carabineros
michel selim nash saez | member | juventudes comunistas
jose r. cordova croxato | member | mapu oc
jose humberto lizardi flores | member | mir
alberto neumann lagos | member | juventudes comunistas
pilo durana | member | udi
erick claussen sparenberg | chief | base aerea los condores
erick claussen sparenberg | member | batallon logistico n° 6 pisagua
ramon larrain | chief | ejercito
marcelo omar guzman fuentes | affected by | ejercito
nolberto jesus canas | affected by | ejercito
michael nash | affected by | ejercito
juan efrain calderon villalon | affected by | ejercito
luis alberto lizardi lizardi | affected by | ejercito
juan jimenez vidal | affected by | ejercito
murillo unspecified | other | ejercito
unspecified hombre | affected by | comisaria de chol-chol
unspecified hombre | affected by | regimiento arica
unspecified hombre | affected by | destacamento de infanteria de marina n° 4 cochrane
unspecified hombre | affected by | comisaria de salamanca
unspecified hombre | affected by | carabineros de valdivia
unspecified hombre | affected by | estadio regional de concepcion
luis pino soto | affected by | dictadura
pilo durana | member | armagedon
tomas orlando cabello cabello | affected by | serpaj
nicolas chanez chanez | affected by | serpaj
juan apolinario mamani garcia | affected by | serpaj
luis anibal manriquez wilden | affected by | serpaj
hugo tomas martinez guillen | affected by | serpaj
juan orlando rojas osega | affected by | serpaj
julio cesar cabezas gacitua | affected by | serpaj
jose rufino cordova croxatto | affected by | serpaj
jose humberto lizardi flores | affected by | serpaj
mario morris barrios | affected by | serpaj
juan valencia hinojosa | affected by | serpaj
rodolfo jacinto fuenzalida fernandez | affected by | serpaj
juan antonio ruz diaz | affected by | serpaj
jose demostenes rosier sampson ocaranza | affected by | serpaj
freddy marcelo taberba gallegos | affected by | serpaj
german eladio palominos lamas | affected by | serpaj
juan alarcon | affected by | serpaj
nolberto jesus canas | affected by | serpaj
marcelo omar guzman fuentes | affected by | serpaj
michel selim nash saez | affected by | serpaj
unspecified hombre | affected by | organismos de seguridad
unspecified mujer | affected by | dina
unspecified hombre | affected by | dina
carabinero unspecified | member | carabineros
sargento unspecified | chief | regimiento chorrillos de talca
subteniente unspecified | chief | regimiento yungay de san felipe
capitan unspecified | chief | cuartel general de investigaciones (general mackenna)
luis pino soto | affected by | sexta division del ejercito
mario morris barrios | affected by | vicaria de la solidaridad
jose r. cordova croxato | affected by | vicaria de la solidaridad
jose humberto lizardi flores | affected by | vicaria de la solidaridad
erick claussen sparenberg | chief | fach
oscar walter pedro ripollcodoceo | member | servicio de cooperacion tecnica
julio gaston valenzuela bastias | member | cire
manuel francisco donoso danobeitia | member | partido socialista
alejandro valle | chief | iglesia catolica
nicanor herrera | other | colegio don bosco
blas espinoza barraza | member | carabineros
froilan moncada saez | member | carabineros
gerardo poblete | affected by | congregacion salesiana
nelson caucoto | other | congregacion salesiana
gustavo erme san martin ravanal | chief | carabineros
enzo meniconi lorca | other | carabineros
hugo grober venegas islas | affected by | investigaciones
patricio padilla villen | chief | ejercito
jose lautaro vignolo quezada | member | cire, centro de inteligencia regional
miguel aguirre | affected by | regimiento logistico n 6 pisagua
roberto fuentes | affected by | regimiento logistico n 6 pisagua
jorge rogelio marin rossel | member | partido socialista
williams millar sanhueza | member | ferrocarriles del estado
pedro prado ortiz | affected by | regimiento militar
jorge rogelio marin rossel | affected by | ejercito
william robert millar sanhueza | affected by | ejercito
luis emilio recabarren | chief | partido obrero socialista
gabriel gonzalez videla | chief | gobierno de gabriel gonzalez videla
carlos ibanez del campo | chief | gobierno de carlos ibanez del campo
rodrigo gonzalez lopez | chief | ministerio de educacion
nelson bravo ramirez | member | regimiento de telecomunicaciones
nelson bravo ramirez | member | supermercado
luis emilio morales marino | member | partido comunista
luis emilio morales marino | affected by | carabineros
luis emilio morales marino | affected by | ejercito
luis emilio recabarren | chief | partido comunista de chile
hugo grober venegas islas | member | ejercito
luis angel medina henriquez | affected by | ejercito
carlos forestier haensen | chief | consejo de defensa del estado
juan valencia hinojosa | member | partido comunista
jose r. cordova croxato | member | mapu
julio cesar cabezas gacitua | other | consejo de defensa del estado
mario morris barrios | other | consejo de defensa del estado
isaias higueras zuniga | affected by | ejercito de chile
nelson marquez agusto | affected by | ejercito de chile
tomas orlando cabello cabello | affected by | ejercito de chile
nicolas chanez chanez | affected by | ejercito de chile
juan apolinario mamani garcia | affected by | ejercito de chile
luis anibal manriquez wilden | affected by | ministerio publico
hugo tomas martinez guillen | affected by | ejercito de chile
juan orlando rojas osega | affected by | ejercito de chile
alberto amador yanez carvajal | affected by | ejercito de chile
luis alberto toro castillo | affected by | ministerio publico
juan efrain calderon villalon | member | marina
juan jimenez vidal | member | marina
juan valencia hinojosa | member | juventudes comunistas
mario morris barrios | member | juventudes comunistas
freddy taberna gallegos | member | mapu oc
jose demostenes rosier sampson ocaranza | member | mapu oc
juan antonio ruz diaz | member | mapu oc
rodolfo jacinto fuenzalida fernandez | member | mapu oc
agusto german elidio palominos lamas | member | mapu oc
gerardo poblete | affected by | fuerzas armadas
juan antonio ruz diaz | member | colegio don bosco
agusto german elidio palominos lamas | member | partido socialista
unspecified nun | other | cni
german unspecified | other | cni
pedro prado ortiz | affected by | comision nacional de verdad y reconciliacion
jorge rogelio marin rossel | other | empresa portuaria de chile
william robert millar sanhueza | other | empresa portuaria de chile
