david coliqueo fuentealba | member | Carabineros de Chile
justo ignacio romo peralta | member | Carabineros de Chile
felix hector sagredo aravena | member | Carabineros de Chile
jacinto r. torres gonzalez | member | Carabineros de Chile
juan jose villegas navarro | member | Carabineros de Chile
pablo nancupil raguileo | member | Carabineros de Chile
marianela cifuentes alarcon | chief | Corte Suprema
lorena pizarro | member | Agrupacion de Familiares de Detenidos Desaparecidos
nelson caucoto | other | Corte Suprema
abraham santibanez | member | Vicaria de la Solidaridad
enrique alvear | member | Vicaria de la Solidaridad
cristian precht | member | Vicaria de la Solidaridad
javier egana | member | Vicaria de la Solidaridad
alejandro gonzalez | member | Vicaria de la Solidaridad
maximo pacheco | member | Vicaria de la Solidaridad
jaime martinez | member | Vicaria de la Solidaridad
adolfo banados cuadra | chief | Corte de Apelaciones de Santiago
gonzalo salazar | chief | Instituto Medico Legal
hector solis | member | Corte Suprema
lautaro eugenio castro mendoza | affected by | carabineros
marcelo ivan castro mendoza | member | carabineros
david coliqueo peralta | member | carabineros
pablo nancupil raquileo | member | carabineros
justo ignacio romo peralta | member | carabineros
felix hector sagredo aravena | member | carabineros
jacinto r. torres gonzalez | member | carabineros
juan jose villegas navarro | member | carabineros
adolfo banados cuadra | other | Vicaria de la Solidaridad
carlos contreras | member | corporacion memoria lonquen
luis navarro | member | Vicaria de la Solidaridad
marisela santibanez | member | corporacion memoria lonquen
lorena pizarro | member | corporacion memoria lonquen
haydee oberreuter | chief | corporacion memoria lonquen
carlos maureira | affected by | corporacion memoria lonquen
israel borquez | chief | Corte Suprema
juana godoy | member | Corte Suprema
gonzalo aguirre | member | Vicaria de la Solidaridad
adolfo banados cuadra | chief | Corte Suprema
gonzalo salazar | member | justicia militar
marianela cifuentes alarcon | chief | carabineros
david coliqueo fuentealba | affected by | carabineros
pablo nancupil raguileo | affected by | carabineros
miguel angel arturo brant bustamante | affected by | carabineros
jose manuel herrera villegas | affected by | carabineros
manuel jesus navarro salinas | affected by | carabineros
ivan gerardo ordonez lama | affected by | carabineros
sergio adrian maureira lillo | affected by | carabineros
carlos segundo hernandez flores | affected by | carabineros
nelson hernandez flores | affected by | carabineros
oscar nibaldo hernandez flores | affected by | carabineros
ignacio del carmen vergara guajardo | affected by | carabineros
rodolfo antonio maureira munoz | affected by | carabineros
sergio miguel maureira munoz | affected by | carabineros
jose manuel maureira munoz | affected by | carabineros
segundo armando maureira munoz | affected by | carabineros
enrique astudillo alvarez | affected by | carabineros
omar astudillo rojas | affected by | carabineros
ramon astudillo rojas | affected by | carabineros
juan j. villegas navarro | member | carabineros
manuel munoz rencoret | member | carabineros
jose belmar sepulveda | member | carabineros
gonazalo salazar | member | carabineros
sergio fernandez | member | carabineros
jose auth | member | Partido Por la Democracia
marianela cifuentes alarcon | member | corte de apelaciones de san miguel
marcelo ivan castro mendoza | member | Carabineros de Chile
sergio diez | other | Vicaria de la Solidaridad
adolfo banados cuadra | chief | Ministerio de Justicia
lautaro eugenio castro mendoza | chief | Fiscal Militar
juan jose villegas navarro | chief | Fiscal Militar
felix hector sagredo aravena | chief | Fiscal Militar
manuel munoz rencoret | chief | Fiscal Militar
jacinto r. torres gonzalez | chief | Fiscal Militar
david coliqueo fuentealba | chief | Fiscal Militar
jose belmar sepulveda | chief | Fiscal Militar
justo ignacio romo peralta | chief | Fiscal Militar
adriana sottovia | member | Comision de Abogados por la Democracia
david coliqueo fuentealba | was present at | isla de maipo
justo ignacio romo peralta | was present at | isla de maipo
felix hector sagredo aravena | was present at | isla de maipo
jacinto r. torres gonzalez | was present at | isla de maipo
juan jose villegas navarro | was present at | isla de maipo
pablo nancupil raguileo | was present at | isla de maipo
