david coliqueo fuentealba | member | carabineros de chile
justo romo peralta | member | carabineros de chile
felix sagredo aravena | member | carabineros de chile
jacinto torres gonzalez | member | carabineros de chile
juan villegas navarro | member | carabineros de chile
pablo nancupil raguileo | member | carabineros de chile
lorena pizarro | chief | agrupacion de familiares de detenidos desaparecidos
abraham santibanez | member | revista hoy
jaime martinez | chief | revista que pasa
javier egana | member | vicaria de la solidaridad
alejandro gonzalez | chief | vicaria de la solidaridad
adolfo banados cuadra | other | corte de apelaciones de santiago
lautaro castro mendoza | chief | carabineros
juan villegas navarro | member | carabineros
felix sagredo aravena | member | carabineros
david coliqueo fuentealba | member | carabineros
jose belmar sepulveda | member | carabineros
jacinto torres gonzalez | member | carabineros
manuel munoz rencoret | member | carabineros
justo romo peralta | member | carabineros
hector solis | member | corte de apelaciones de san miguel
marcelo ivan castro mendoza | member | tenencia de carabineros isla de maipo
david coliqueo peralta | member | tenencia de carabineros isla de maipo
pablo nancupil raquileo | member | tenencia de carabineros isla de maipo
justo romo peralta | member | tenencia de carabineros isla de maipo
felix sagredo aravena | member | tenencia de carabineros isla de maipo
jacinto torres gonzalez | member | tenencia de carabineros isla de maipo
juan villegas navarro | member | tenencia de carabineros isla de maipo
lautaro castro mendoza | chief | tenencia de carabineros isla de maipo
sergio diez | member | naciones unidas
cristian precht | chief | vicaria de la solidaridad
luis navarro | member | vicaria de la solidaridad
carlos maureira | affected by | carabineros de la tenencia de isla de maipo
cristian precht | member | primera comision a lonquen
enrique alvear | member | primera comision a lonquen
javier egana | member | primera comision a lonquen
maximo pacheco | member | primera comision a lonquen
israel borquez | chief | corte suprema
juana godoy | member | corte suprema
gonzalo aguirre | member | vicaria de la solidaridad
lautaro castro mendoza | member | carabineros de la tenencia de isla de maipo
gonzalo salazar | other | instituto medico legal
sergio maureira lillo | affected by | carabineros
oscar hernandez flores | affected by | carabineros
enrique astudillo alvarez | affected by | carabineros
miguel brant benavente | affected by | carabineros
ivan ordonez lama | affected by | carabineros
jose manuel herrera villegas | affected by | carabineros
manuel navarro salinas | affected by | carabineros
lautaro castro mendoza | chief | tenencia de isla de maipo
enrique astudillo alvarez | affected by | tenencia de isla de maipo
omar astudillo rojas | affected by | tenencia de isla de maipo
ramon astudillo rojas | affected by | tenencia de isla de maipo
miguel bustamante | affected by | tenencia de isla de maipo
jose villegas | affected by | tenencia de isla de maipo
manuel salinas | affected by | tenencia de isla de maipo
ivan lama | affected by | tenencia de isla de maipo
sergio maureira lillo | affected by | tenencia de isla de maipo
jose manuel maureira munoz | affected by | tenencia de isla de maipo
rodolfo maureira munoz | affected by | tenencia de isla de maipo
segundo maureira munoz | affected by | tenencia de isla de maipo
sergio maureira munoz | affected by | tenencia de isla de maipo
carlos hernandez flores | affected by | tenencia de isla de maipo
nelson hernandez flores | affected by | tenencia de isla de maipo
oscar hernandez flores | affected by | tenencia de isla de maipo
ignacio guajardo | affected by | tenencia de isla de maipo
lautaro castro mendoza | other | corte marcial
jose auth | chief | partido por la democracia
omar astudillo rojas | member | carabineros
ramon astudillo rojas | member | carabineros
carlos hernandez flores | member | carabineros
nelson hernandez flores | member | carabineros
jose manuel maureira munoz | member | carabineros
rodolfo maureira munoz | member | carabineros
segundo maureira munoz | member | carabineros
sergio maureira munoz | member | carabineros
marcelo ivan castro mendoza | member | carabineros
david coliqueo peralta | member | carabineros
pablo nancupil raquileo | member | carabineros
marianela cifuentes alarcon | other | corte de apelaciones de san miguel
marcelo ivan castro mendoza | member | carabineros de chile
enrique alvear | member | vicaria de la solidaridad
maximo pacheco | member | vicaria de la solidaridad
purisima munoz | affected by | empresa metropolitana de residuos solidos
adriana sottovia | member | corte de apelaciones de san miguel
minister appointed | occurs at | corte suprema
body identification | occurs at | corte de apelaciones de san miguel
municipalidad de isla de maipo | is contained in | isla de maipo
ivan lama | was present at | tenencia de isla de maipo
manuel salinas | was present at | tenencia de isla de maipo
jose villegas | was present at | tenencia de isla de maipo
miguel bustamante | was present at | tenencia de isla de maipo
lautaro castro mendoza | was present at | tenencia de isla de maipo
police abuse | occurs at | tenencia de isla de maipo
tenencia de isla de maipo | is contained in | isla de maipo
remains withdrawn | occurs at | servicio medico legal
martial confirmation | occurs at | corte marcial
lautaro castro mendoza | was present at | tenencia de carabineros isla de maipo
juan villegas navarro | was present at | tenencia de carabineros isla de maipo
jacinto torres gonzalez | was present at | tenencia de carabineros isla de maipo
felix sagredo aravena | was present at | tenencia de carabineros isla de maipo
justo romo peralta | was present at | tenencia de carabineros isla de maipo
pablo nancupil raquileo | was present at | tenencia de carabineros isla de maipo
david coliqueo peralta | was present at | tenencia de carabineros isla de maipo
marcelo ivan castro mendoza | was present at | tenencia de carabineros isla de maipo
carabineros de chile | cause of | isla maipo arrest
carabineros | unspecified | isla maipo arrest
isla maipo arrest | occurs at | isla de maipo
iglesia catolica | unspecified | isla maipo arrest
isla maipo arrest | occurs at | plaza de isla de maipo
juan villegas navarro | cause of | isla maipo arrest
jacinto torres gonzalez | cause of | isla maipo arrest
felix sagredo aravena | cause of | isla maipo arrest
justo romo peralta | cause of | isla maipo arrest
pablo nancupil raquileo | cause of | isla maipo arrest
david coliqueo peralta | cause of | isla maipo arrest
marcelo ivan castro mendoza | cause of | isla maipo arrest
manuel navarro salinas | affected by | isla maipo arrest
jose manuel herrera villegas | affected by | isla maipo arrest
ivan ordonez lama | affected by | isla maipo arrest
miguel brant benavente | affected by | isla maipo arrest
enrique astudillo alvarez | affected by | isla maipo arrest
oscar hernandez flores | affected by | isla maipo arrest
sergio maureira lillo | affected by | isla maipo arrest
comision de abogados por la democracia | unspecified | mass detainee death
mass detainee death | occurs at | lonquen
carabineros de chile | cause of | mass detainee death
marcelo ivan castro mendoza | cause of | mass detainee death
incompetence declared | occurs at | santiago
corte de apelaciones de santiago | unspecified | ministro designated
corte suprema | unspecified | ministro designated
ministro designated | occurs at | santiago
adolfo banados cuadra | affected by | ministro designated
corte suprema | unspecified | corte suprema complaint
corte suprema complaint | occurs at | santiago
naciones unidas | unspecified | united nations
sergio diez | cause of | united nations
justo romo peralta | affected by | fiscal arrest order
jose belmar sepulveda | affected by | fiscal arrest order
david coliqueo fuentealba | affected by | fiscal arrest order
jacinto torres gonzalez | affected by | fiscal arrest order
justo romo peralta | affected by | amnistia decision
jose belmar sepulveda | affected by | amnistia decision
david coliqueo fuentealba | affected by | amnistia decision
jacinto torres gonzalez | affected by | amnistia decision
manuel munoz rencoret | affected by | amnistia decision
felix sagredo aravena | affected by | amnistia decision
juan villegas navarro | affected by | amnistia decision
lautaro castro mendoza | affected by | amnistia decision
lautaro castro mendoza | affected by | fiscal arrest order
manuel munoz rencoret | affected by | fiscal arrest order
fiscal arrest order | occurs at | santiago
carabineros | unspecified | fiscal arrest order
felix sagredo aravena | affected by | fiscal arrest order
juan villegas navarro | affected by | fiscal arrest order
carabineros de la tenencia de isla de maipo | affected by | fiscal arrest order
david coliqueo fuentealba | cause of | supreme court sentencing
justo romo peralta | cause of | supreme court sentencing
felix sagredo aravena | cause of | supreme court sentencing
jacinto torres gonzalez | cause of | supreme court sentencing
juan villegas navarro | cause of | supreme court sentencing
pablo nancupil raguileo | cause of | supreme court sentencing
marianela cifuentes alarcon | cause of | supreme court sentencing
adolfo banados cuadra | unspecified | minister appointed
hector solis | unspecified | body identification
lautaro castro mendoza | cause of | lonquen discovery
carlos maureira | affected by | lonquen massacre
carlos maureira | unspecified | lonquen remembrance
marisela santibanez | unspecified | lonquen remembrance
lorena pizarro | unspecified | lonquen remembrance
haydee oberreuter | unspecified | lonquen remembrance
luis navarro | unspecified | lonquen remembrance
cristian precht | cause of | commission at lonquen
enrique alvear | unspecified | commission at lonquen
javier egana | unspecified | commission at lonquen
alejandro gonzalez | unspecified | commission at lonquen
maximo pacheco | unspecified | commission at lonquen
jaime martinez | unspecified | commission at lonquen
abraham santibanez | unspecified | commission at lonquen
adolfo banados cuadra | cause of | incompetence declared
luis navarro | unspecified | romeria at lonquen
lautaro castro mendoza | affected by | military sentencing
cristian precht | cause of | lonquen commission
miguel bustamante | affected by | plaza arrest
jose villegas | affected by | plaza arrest
manuel salinas | affected by | plaza arrest
ivan lama | affected by | plaza arrest
sergio maureira lillo | affected by | maureira arrest
carlos hernandez flores | affected by | ballica arrest
nelson hernandez flores | affected by | ballica arrest
oscar hernandez flores | affected by | ballica arrest
ignacio guajardo | affected by | ballica arrest
rodolfo maureira munoz | affected by | maureira bros arrest
sergio maureira munoz | affected by | maureira bros arrest
jose manuel maureira munoz | affected by | family arrest
segundo maureira munoz | affected by | family arrest
enrique astudillo alvarez | affected by | astudillo arrest
omar astudillo rojas | affected by | astudillo arrest
ramon astudillo rojas | affected by | astudillo arrest
enrique astudillo alvarez | affected by | lonquen massacre
omar astudillo rojas | affected by | lonquen massacre
ramon astudillo rojas | affected by | lonquen massacre
miguel bustamante | affected by | lonquen massacre
carlos hernandez flores | affected by | lonquen massacre
nelson hernandez flores | affected by | lonquen massacre
oscar hernandez flores | affected by | lonquen massacre
jose villegas | affected by | lonquen massacre
sergio maureira lillo | affected by | lonquen massacre
jose manuel maureira munoz | affected by | lonquen massacre
rodolfo maureira munoz | affected by | lonquen massacre
segundo maureira munoz | affected by | lonquen massacre
sergio maureira munoz | affected by | lonquen massacre
manuel salinas | affected by | lonquen massacre
ivan lama | affected by | lonquen massacre
lautaro castro mendoza | affected by | court confirmation
juan villegas navarro | affected by | court confirmation
felix sagredo aravena | affected by | court confirmation
manuel munoz rencoret | affected by | court confirmation
jacinto torres gonzalez | affected by | court confirmation
david coliqueo fuentealba | affected by | court confirmation
jose belmar sepulveda | affected by | court confirmation
justo romo peralta | affected by | court confirmation
marianela cifuentes alarcon | cause of | carabineros sentencing
marcelo ivan castro mendoza | affected by | carabineros sentencing
david coliqueo fuentealba | affected by | carabineros sentencing
justo romo peralta | affected by | carabineros sentencing
felix sagredo aravena | affected by | carabineros sentencing
jacinto torres gonzalez | affected by | carabineros sentencing
juan villegas navarro | affected by | carabineros sentencing
pablo nancupil raguileo | affected by | carabineros sentencing
sergio diez | cause of | united nations speech
enrique alvear | cause of | lonquen commission
javier egana | cause of | lonquen commission
alejandro gonzalez | cause of | lonquen commission
maximo pacheco | cause of | lonquen commission
jaime martinez | cause of | lonquen commission
abraham santibanez | cause of | lonquen commission
lautaro castro mendoza | affected by | corte confirmation
juan villegas navarro | affected by | corte confirmation
felix sagredo aravena | affected by | corte confirmation
manuel munoz rencoret | affected by | corte confirmation
jacinto torres gonzalez | affected by | corte confirmation
david coliqueo fuentealba | affected by | corte confirmation
jose belmar sepulveda | affected by | corte confirmation
justo romo peralta | affected by | corte confirmation
adriana sottovia | cause of | judicial accusation
patio civico de la municipalidad de isla de maipo | is contained in | isla de maipo
cementerio parroquial de isla de maipo | is contained in | isla de maipo
lonquen fuente | is contained in | isla de maipo
casa de sergio adrian maureira lillo | is contained in | fundo naguayan
inmueble de calle la ballica n° 12 | is contained in | fundo naguayan
casa de la familia maureira en el fundo naguayan | is contained in | fundo naguayan
public wake | occurs at | patio civico de la municipalidad de isla de maipo
solemn burial | occurs at | cementerio parroquial de isla de maipo
public wake | occurs at | patio civico de la municipalidad de isla de maipo
solemn burial | occurs at | cementerio parroquial de isla de maipo
lonquen discovery | occurs at | cooperativa agricola el triunfador
lonquen massacre | occurs at | lonquen fuente
lonquen remembrance | occurs at | lonquen fuente
commission at lonquen | occurs at | lonquen
romeria at lonquen | occurs at | lonquen
lonquen commission | occurs at | lonquen
plaza arrest | occurs at | plaza de isla de maipo
maureira arrest | occurs at | casa de sergio adrian maureira lillo
ballica arrest | occurs at | inmueble de calle la ballica n° 12
maureira bros arrest | occurs at | inmuebles de rodolfo antonio maureira munoz y sergio miguel maureira munoz
family arrest | occurs at | casa de la familia maureira en el fundo naguayan
astudillo arrest | occurs at | fundo naguayan
lonquen massacre | occurs at | localidad de lonquen
carabineros sentencing | occurs at | san miguel
suprema confirmation | occurs at | santiago
hornos demolition | occurs at | lonquen
judicial accusation | occurs at | san miguel
primera comision a lonquen | if part of | vicaria de la solidaridad
tenencia de isla de maipo | if part of | carabineros
municipalidad de isla de maipo | unspecified | public wake
corte suprema | cause of | supreme court sentencing
carabineros de chile | affected by | supreme court sentencing
fisco | affected by | supreme court sentencing
vicaria de la solidaridad | cause of | minister appointed
corte de apelaciones de santiago | unspecified | minister appointed
corte marcial | cause of | martial confirmation
corte de apelaciones de san miguel | unspecified | body identification
municipalidad de isla de maipo | unspecified | public wake
carabineros | affected by | amnesty applied
vicaria de la solidaridad | unspecified | lonquen discovery
corte suprema | unspecified | lonquen discovery
corte de apelaciones de santiago | unspecified | lonquen discovery
instituto medico legal | unspecified | lonquen discovery
carabineros de la tenencia de isla de maipo | cause of | lonquen massacre
corporacion memoria lonquen | unspecified | lonquen remembrance
vicaria de la solidaridad | unspecified | lonquen massacre
oiant de argentina | unspecified | lonquen remembrance
vicaria de la solidaridad | cause of | commission at lonquen
primera comision a lonquen | cause of | commission at lonquen
carabineros de la tenencia de isla de maipo | cause of | isla maipo arrest
revista que pasa | unspecified | commission at lonquen
revista hoy | unspecified | commission at lonquen
justicia militar | unspecified | incompetence declared
carabineros | affected by | military sentencing
